iter	Passed	Remaining
0	143	143302
1	144	71873
2	144	48045
3	145	36203
4	146	29158
5	147	24390
6	147	20987
7	148	18420
8	149	16426
9	150	14879
10	150	13568
11	151	12471
12	152	11542
13	152	10744
14	153	10053
15	153	9448
16	154	8914
17	154	8439
18	155	8014
19	155	7631
20	156	7285
21	156	6971
22	157	6684
23	157	6420
24	158	6178
25	158	5956
26	159	5750
27	160	5561
28	160	5385
29	161	5222
30	162	5075
31	162	4928
32	163	4793
33	164	4665
34	164	4544
35	165	4428
36	165	4318
37	166	4213
38	166	4114
39	167	4020
40	168	3930
41	168	3844
42	169	3765
43	169	3687
44	170	3613
45	170	3541
46	171	3473
47	171	3408
48	172	3345
49	172	3285
50	176	3286
51	177	3234
52	178	3181
53	178	3129
54	179	3078
55	179	3030
56	180	2982
57	180	2936
58	181	2894
59	182	2851
60	182	2809
61	183	2769
62	183	2730
63	184	2692
64	184	2655
65	185	2620
66	185	2585
67	186	2551
68	186	2519
69	187	2487
70	187	2456
71	188	2426
72	188	2398
73	189	2371
74	190	2345
75	190	2319
76	191	2294
77	192	2269
78	192	2247
79	193	2224
80	194	2201
81	194	2179
82	195	2154
83	195	2133
84	196	2112
85	196	2092
86	197	2072
87	198	2052
88	198	2033
89	199	2014
90	199	1996
91	200	1977
92	200	1959
93	201	1941
94	202	1924
95	202	1907
96	203	1890
97	203	1877
98	204	1862
99	205	1848
100	206	1833
101	206	1819
102	207	1806
103	208	1792
104	208	1779
105	209	1767
106	210	1753
107	210	1739
108	211	1726
109	212	1717
110	212	1705
111	213	1693
112	214	1680
113	214	1668
114	215	1656
115	215	1644
116	216	1631
117	216	1619
118	217	1608
119	217	1596
120	218	1585
121	218	1575
122	219	1567
123	220	1558
124	221	1548
125	221	1538
126	222	1528
127	222	1518
128	223	1508
129	224	1499
130	224	1490
131	225	1482
132	226	1473
133	226	1464
134	227	1456
135	227	1448
136	228	1440
137	229	1431
138	229	1423
139	230	1415
140	231	1407
141	231	1398
142	232	1391
143	232	1383
144	233	1378
145	234	1372
146	235	1365
147	235	1358
148	236	1351
149	237	1344
150	237	1337
151	238	1330
152	238	1323
153	239	1316
154	240	1309
155	240	1302
156	241	1295
157	241	1289
158	242	1282
159	243	1276
160	243	1269
161	244	1263
162	244	1257
163	245	1250
164	245	1244
165	246	1238
166	247	1232
167	247	1225
